gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
2365686427	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 001101	MPEG.ANL 001101		Beckman, Ruana; Pena, José; Souza, Raíssa													PRESENT	Etanol - 3																		2017-08-30T00:00:00				2017	8	30											Pará, Belém					BR	Pará	Belém		Mocambo									1.440694	-48.41125																																																		Pontoscolex								Animalia	Annelida	Clitellata	Haplotaxida	Glossoscolecidae		Pontoscolex	Pontoscolex						GENUS				DOUBTFUL			9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.952Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH;PRESUMED_NEGATED_LONGITUDE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	true	2308740	2308740	1	42	255	472	3567	2308740				Pontoscolex	Pontoscolex Corethrurus		EML	2023-09-07T09:19:05.952Z	2023-01-07T11:25:05.817Z	false												
2365686418	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 001596	MPEG.ANL 001596		Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume													PRESENT	Etanol - 1																		2018-08-15T00:00:00				2018	8	15											Maranhão, São Luís	SOUTH_AMERICA				BR	Maranhão	São Luís		Fazenda Escola									-4.587222	-44.208611																																																		Liodrilus mendesi Righi, 1994								Animalia	Annelida	Clitellata				Liodrilus	Liodrilus			mendesi			SPECIES				ACCEPTED			9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.949Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	9512479	9512479	1	42	255			4813824		9512479	Liodrilus mendesi	Liodrilus mendesi Righi, 1994	Liodrilus mendesi		EML	2023-09-07T09:19:05.949Z	2023-01-07T11:25:05.817Z	false			BRA	Brazil	BRA.10_1	Maranhão	BRA.10.59_2	Codó			NE	
2365686416	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 001635	MPEG.ANL 001635		Sousa, Anny; Sousa, Sandriel; Hernández, Luis													PRESENT	Etanol - 1																		2019-02-12T00:00:00				2019	2	12											Maranhão, Caxias	SOUTH_AMERICA				BR	Maranhão	Caxias		Santa Tereza Village									-4.899722	-43.470833																																																		Liodrilus mendesi Righi, 1994								Animalia	Annelida	Clitellata				Liodrilus	Liodrilus			mendesi			SPECIES				ACCEPTED			9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.937Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	9512479	9512479	1	42	255			4813824		9512479	Liodrilus mendesi	Liodrilus mendesi Righi, 1994	Liodrilus mendesi		EML	2023-09-07T09:19:05.937Z	2023-01-07T11:25:05.817Z	false			BRA	Brazil	BRA.10_1	Maranhão	BRA.10.52_2	Caxias			NE	
2365686414	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 001031	MPEG.ANL 001031		Beckman, Ruana; Pena, José; Souza, Raíssa													PRESENT	Etanol - 1																		2017-08-30T00:00:00				2017	8	30											Pará, Belém					BR	Pará	Belém		Mocambo									1.440694	-48.41125																																																		Pontoscolex								Animalia	Annelida	Clitellata	Haplotaxida	Glossoscolecidae		Pontoscolex	Pontoscolex						GENUS				DOUBTFUL			9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.946Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH;PRESUMED_NEGATED_LONGITUDE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	true	2308740	2308740	1	42	255	472	3567	2308740				Pontoscolex	Pontoscolex Corethrurus		EML	2023-09-07T09:19:05.946Z	2023-01-07T11:25:05.817Z	false												
2365686412	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 001036	MPEG.ANL 001036		Beckman, Ruana; Pena, José; Souza, Raíssa													PRESENT	Etanol - 17																		2017-08-30T00:00:00				2017	8	30											Pará, Belém					BR	Pará	Belém		Mocambo									1.440694	-48.41125																																																		Pontoscolex								Animalia	Annelida	Clitellata	Haplotaxida	Glossoscolecidae		Pontoscolex	Pontoscolex						GENUS				DOUBTFUL			9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.946Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH;PRESUMED_NEGATED_LONGITUDE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	true	2308740	2308740	1	42	255	472	3567	2308740				Pontoscolex	Pontoscolex Corethrurus		EML	2023-09-07T09:19:05.946Z	2023-01-07T11:25:05.817Z	false												
2365686409	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 000595	MPEG.ANL 000595		Braga, Cesar; Ferreira, Viviane													PRESENT	Líquido - 2																		2008-11-01T00:00:00				2008	11									Material doado Laboratório de Oceanografia Biológica/UFPA			Pará, Bragança	SOUTH_AMERICA				BR	Pará	Bragança		Ilha de Canela																																																												Heteromastus Eisig, 1887								Animalia	Annelida	Polychaeta		Capitellidae		Heteromastus	Heteromastus						GENUS				ACCEPTED			9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.943Z						COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		false	false	7236626	7236626	1	42	256		5752	7236626				Heteromastus Eisig, 1887	Heteromastus		EML	2023-09-07T09:19:05.943Z	2023-01-07T11:25:05.817Z	false												
2365686408	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 001568	MPEG.ANL 001568		Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel													PRESENT	Etanol - 1																		2017-04-15T00:00:00				2017	4	15											Maranhão, Rosário	SOUTH_AMERICA				BR	Maranhão	Rosário		Rosário									-2.853972	-44.153167																																																		Pontoscolex corethrurus (Muller, 1856)								Animalia	Annelida	Clitellata	Crassiclitellata	Rhinodrilidae		Pontoscolex	Pontoscolex			corethrurus			SPECIES				ACCEPTED			9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.953Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2308741	2308741	1	42	255	5958860	9272891	10943108		2308741	Pontoscolex corethrurus	Pontoscolex corethrurus (Muller, 1856)	Pontoscolex corethrurus		EML	2023-09-07T09:19:05.953Z	2023-01-07T11:25:05.817Z	false			BRA	Brazil	BRA.10_1	Maranhão	BRA.10.159_2	Rosário			NE	
2365686407	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 000622	MPEG.ANL 000622		Braga, Cesar; Ferreira, Viviane													PRESENT	Líquido - 2																		2008-11-01T00:00:00				2008	11									Material doado Laboratório de Oceanografia Biológica/UFPA			Pará, Bragança	SOUTH_AMERICA				BR	Pará	Bragança		Península Bragantina																																																												Laeonereis culveri (Webster, 1879)								Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae		Laeonereis	Laeonereis			culveri			SPECIES				ACCEPTED			9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.949Z						COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		false	false	2316376	2316376	1	42	256	1079	6972	2316367		2316376	Laeonereis culveri	Laeonereis culveri (Webster, 1879)	Laeonereis culveri		EML	2023-09-07T09:19:05.949Z	2023-01-07T11:25:05.817Z	false											NE	
2365686406	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 001090	MPEG.ANL 001090		Beckman, Ruana; Pena, José; Souza, Raíssa													PRESENT	Etanol - 1																		2017-08-30T00:00:00				2017	8	30											Pará, Belém					BR	Pará	Belém		Mocambo									1.440694	-48.41125																																																		Pontoscolex								Animalia	Annelida	Clitellata	Haplotaxida	Glossoscolecidae		Pontoscolex	Pontoscolex						GENUS				DOUBTFUL			9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.947Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH;PRESUMED_NEGATED_LONGITUDE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	true	2308740	2308740	1	42	255	472	3567	2308740				Pontoscolex	Pontoscolex Corethrurus		EML	2023-09-07T09:19:05.947Z	2023-01-07T11:25:05.817Z	false												
2365686405	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 001083	MPEG.ANL 001083		Beckman, Ruana; Pena, José; Souza, Raíssa													PRESENT	Etanol - 3																		2017-08-30T00:00:00				2017	8	30											Pará, Belém					BR	Pará	Belém		Mocambo									1.440694	-48.41125																																																		Pontoscolex								Animalia	Annelida	Clitellata	Haplotaxida	Glossoscolecidae		Pontoscolex	Pontoscolex						GENUS				DOUBTFUL			9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.945Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH;PRESUMED_NEGATED_LONGITUDE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	true	2308740	2308740	1	42	255	472	3567	2308740				Pontoscolex	Pontoscolex Corethrurus		EML	2023-09-07T09:19:05.945Z	2023-01-07T11:25:05.817Z	false												
